contest,problem,algorithm,note
315,a,問題文通り,std::findを使った方がよかった
315,b,問題文通り、累積和,累積和が使えるらしい
317,a,問題文通り,事前にhを足すとstd::lower_boundが使える
317,b,規則性,連続しているということは公差が1
318,a,数学的問題,m<=pという制約を利用して、pを足してからpで割ることで、条件分岐を無くした
318,b,言い換え、累積和,平面を2次元配列に言い換え、2次元累積和が使えるらしい
319,a,STL,データの埋め込みを効率化するのがコツ、プログラムでプログラムを書く
319,b,問題文通り,特になし

